,rank,address,c,name, tag,balance,percentage,txn count,b,k
0,2,0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d,,7,001,007.56537326 BNB,31.74517174%,860.0,,
1,3,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Binance: WBNB Token,6,840,443.97786656 BNB,31.01711673%,1.0,895.0,439.0
2,4,0xf977814e90da44bfa03b6295a0616a897441acec,,1,367,646.85917444 BNB,6.20141944%,925.0,,
3,5,0x8894e0a0c962cb723c1976a4421c95949be2d4e3,Binance: Hot Wallet 6,1,041,411.82778227 BNB,4.72214849%,1.0,112.0,970.0
4,6,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,,288,899.98954845 BNB,1.30997998%,163,,,
5,7,0xa07c5b74c9b40447a954e1466938b865b6bbea36,Venus: vBNB Token,286,806.28937992 BNB,1.30048637%,254,390.0,,
6,8,0x3c783c21a0383057d128bae431894a5c19f9cf06,Binance: Hot Wallet 8,196,876.81898533 BNB,0.89271271%,290,580.0,,
7,9,0xeb2d2f1b8c558a40207669291fda468e50c8a0bb,Binance: Hot Wallet 10,196,674.45468854 BNB,0.89179511%,325,607.0,,
8,10,0xdccf3b77da55107280bd850ea519df3705d1a75a,Binance: Hot Wallet 9,151,789.02923583 BNB,0.68826790%,299,489.0,,
9,11,0xbd612a3f30dca67bf60a39fd0d35e39b7ab80774,Binance: Hot Wallet 13,148,090.28029515 BNB,0.67149640%,318,228.0,,
10,12,0xe2fc31f816a9b94326492132018c3aecc4a93ae1,Binance: Hot Wallet 7,143,275.89432413 BNB,0.64966618%,834,928.0,,
11,13,0x161ba15a5f335c9f06bb5bbb0a9ce14076fbb645,Binance: Hot Wallet 11,136,683.08819631 BNB,0.61977195%,314,781.0,,
12,14,0x000000000000000000000000000000000000dead,Burn Address,131,867.43513028 BNB,0.59793599%,1,708.0,,
13,15,0x515b72ed8a97f42c568d6a143232775018f133c8,Binance: Hot Wallet 12,104,630.34456935 BNB,0.47443289%,302,947.0,,
14,16,0xab87c2f5fe40c7ea8b6f1a68c09f8e869b72cb54,,97,724.85753738 BNB,0.44312084%,53,,,
15,17,0xc86ba44ad1ab1d2329833a8e186b568e87295619,,80,508.93947865 BNB,0.36505747%,46,,,
16,18,0xc18907269640d11e2a91d7204f33c5115ce3419e,,80,506.12543465 BNB,0.36504471%,125,95.0,,
17,19,0xc78248d676debb4597e88071d3d889eca70e5469,,70,497.37961385 BNB,0.31966133%,169,,,
18,20,0x468c0cfae487a9de23e20d0b29a2835dc058cdf7,,62,720.9567419 BNB,0.28440014%,86,,,
19,21,0xcac8f5daa96c11e52ef099ab145264e45e86a8a1,,50,143.6191 BNB,0.22736982%,104,,,
20,22,0xfd6042df3d74ce9959922fec559d7995f3933c55,Fake_Phishing7,48,510.94025542 BNB,0.21996664%,29,,,
21,23,0x7bda16073b3ffe2ba4cf06784515d6fa21439aa3,,44,000.19766458 BNB,0.19951326%,5,118.0,,
22,24,0x1ffe17b99b439be0afc831239ddecda2a790ff3a,Cream.Finance: crBNB Token,43,496.09202203 BNB,0.19722746%,50,852.0,,
23,25,0x46b513dd578d7bbc1d86c45c9a6cc687c942704b,,37,515.3201 BNB,0.17010841%,55,,,
24,26,0x0aa59e90396ef9cb225fe3fb87cd587c6e91db18,,33,000 BNB,0.14963427%,1,,,
25,27,0xda07f1603a1c514b2f4362f3eae7224a9cdefaf9,,28,228.38321285 BNB,0.12799799%,91,,,
26,28,0x3bb5f6285c312fc7e1877244103036ebbeda193d,,28,101.02026802 BNB,0.12742048%,65,711.0,,
27,29,0x6093a0b32c9fb18f61198a5fe869d3ef9549f61a,,27,592.49011 BNB,0.12511461%,31,,,
28,30,0x89c527764f03bcb7dc469707b23b79c1d7beb780,Orbit: Bridge,25,977.38092506 BNB,0.11779111%,39,48.0,,
29,31,0x269da78999ce4ce5d20ea8d0cae0f46e2763a68d,,25,530.99979 BNB,0.11576705%,9,,,
30,32,0x9e647c2c10323f5d8c22d19b554ed9cbc5638e18,,25,003.999895 BNB,0.11337743%,6,,,
31,33,0x69e4694dd76f3ec3eb72253a60c665a522084aee,,22,895.73445351 BNB,0.10381777%,2,,,
32,34,0xd794988e7c25cb34f58a1f8dcc30a7ca296dcb95,,21,392.60149953 BNB,0.09700201%,24,,,
33,35,0x875abe6f1e2aba07bed4a3234d8555a0d7656d12,,19,757.07611351 BNB,0.08958593%,7,,,
34,36,0xf67fca2d306b4cf4781194d648b67dd7a3039030,,18,166.70029612 BNB,0.08237457%,5,,,
35,37,0x3ee8550faed8427fa4e0e5850cab553aa9154b8b,,18,069.948349 BNB,0.08193587%,26,,,
36,38,0x87b1acce6a1958e522233a737313c086551a5c76,,17,209.43995552 BNB,0.07803400%,104,675.0,,
37,39,0x6868fd7f18565946fa8927cc0463b1933e599871,,17,100.55118799 BNB,0.07754026%,260,,,
38,40,0xceb4638e13d0db2e5b489fb8346796cf6300a8f0,,15,583.74547989 BNB,0.07066250%,2,,,
