1,0x00000000219ab540356cbb839cbe05303d7705fa,Eth2 Deposit Contract,7,825,474.000069 Ether,6.65298890%,156,655
2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,7,250,131.25219484 Ether,6.16384934%,3,171,756
3,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Binance 7,2,296,896.44443081 Ether,1.95275411%,966
4,0x73bceb1cd57c711feac4224d062b0f6ff338501e,,1,994,773.59623429 Ether,1.69589811%,326
5,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,Compound: cETH Token,1,761,051.65727662 Ether,1.49719456%,248,097
6,0x9bf4001d307dfd62b26a2f1307ee0c0307632d59,,1,390,000.016622 Ether,1.18173732%,10
7,0x53d284357ec70ce289d6d64134dfac8e511c8a3d,Kraken 6,1,378,734.06632152 Ether,1.17215934%,15,001
8,0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,Gemini 3,929,498.95358134 Ether,0.79023280%,275
9,0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,Bitfinex: MultiSig 3,700,010.76046368 Ether,0.59512865%,44
10,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,Lido: Curve Liquidity Farming Pool Contract,563,756.49237088 Ether,0.47928927%,20,536
11,0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,,560,000.000065 Ether,0.47609561%,113
12,0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f,Liquity: Active Pool,523,997.87253805 Ether,0.44548765%,4
13,0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex 2,487,410.97572442 Ether,0.41438254%,13,085
14,0x8484ef722627bf18ca5ae6bcf031c23e6e922b30,Polygon (Matic): Ether Bridge,473,942.46918843 Ether,0.40293201%,8
15,0xe853c56864a2ebe4576a807d26fdc4a0ada51919,Kraken 3,465,197.59593256 Ether,0.39549738%,220
16,0xe92d1a43df510f82c66382592a047d288f85226f,,450,000.05008572 Ether,0.38257687%,17
17,0xa929022c9107643515f5c777ce9a910f0d1e490c,HECO Chain: Bridge,411,786.887 Ether,0.35008916%,13,923
18,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,EthDev,383,868.43678314 Ether,0.32635371%,798
19,0x07ee55aa48bb72dcc6e9d78256648910de513eca,Gemini: Contract 1,330,741.11148462 Ether,0.28118641%,770
20,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,FTX Exchange 2,327,175.46887021 Ether,0.27815501%,1,049,914
21,0x220866b1a2219f40e72f5c628b65d54268ca3a9d,Vb 3,325,001.91359528 Ether,0.27630711%,21
22,0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca,,325,000.48001707 Ether,0.27630589%,14
23,0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8,311,985.06088935 Ether,0.26524057%,6,407
24,0x3bfc20f0b9afcace800d73d2191166ff16540258,Polkadot: MultiSig,306,276.62236139 Ether,0.26038742%,144
25,0x011b6e24ffb0b5f5fcc564cf4183c5bbbc96d515,Arbitrum: Bridge,285,417.35900446 Ether,0.24265348%,0
26,0x8103683202aa8da10536036edef04cdd865c225e,,275,000.02741999 Ether,0.23379697%,6
27,0xf66852bc122fd40bfecc63cd48217e88bda12109,Huobi 37,264,833.32995509 Ether,0.22515354%,301,561
28,0x0a4c79ce84202b03e95b7a692e5d728d83c44c76,,254,248.45391694 Ether,0.21615459%,9
29,0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9,,250,000.01704597 Ether,0.21254270%,12
30,0x66f820a414680b5bcda5eeca5dea238543f42054,Bittrex 3,248,499.87083972 Ether,0.21126732%,139
31,0x8921e2464776d4d7e92b5d617b870deb9b96b73d,,229,471.49434544 Ether,0.19508995%,15
32,0x189b9cbd4aff470af2c0102f365fc1823d857965,,224,292.67061298 Ether,0.19068706%,898
33,0x28c6c06298d514db089934071355e5743bf21d60,Binance 14,217,317.25035447 Ether,0.18475676%,2,740,172
34,0x59448fe20378357f206880c58068f095ae63d5a5,,215,368.75561612 Ether,0.18310021%,2
35,0x9845e1909dca337944a0272f1f9f7249833d2d19,,215,001 Ether,0.18278756%,5
36,0xdc1487e092caba080c6badafaa75a58ce7a2ec34,,212,103.20672851 Ether,0.18032394%,108
37,0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4,,210,116.92906955 Ether,0.17863526%,114,631
38,0xbddf00563c9abd25b576017f08c46982012f12be,,201,549.964884 Ether,0.17135188%,96
39,0x558553d54183a8542f7832742e7b4ba9c33aa1e6,,200,000.663247 Ether,0.17003471%,23
40,0x98ec059dc3adfbdd63429454aeb0c990fba4a128,,200,000.10703597 Ether,0.17003424%,12
41,0x1ffedd7837bcbc53f91ad4004263deb8e9107540,,200,000.0004 Ether,0.17003415%,55
42,0x40f0d6fb7c9ddd9cbc1c02a208380c08cf77189b,,199,580.32171513 Ether,0.16967735%,58
