,rank,address,name, tag,balance,percentage,txn count,b,c,d
0,2,0x00000000219ab540356cbb839cbe05303d7705fa,Eth2 Deposit Contract,6,406,626.000069 Ether,5.48452572%,136.0,186.0,
1,3,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Binance 7,2,296,896.55278305 Ether,1.96630617%,942.0,,
2,4,0x73bceb1cd57c711feac4224d062b0f6ff338501e,,2,059,046.72941334 Ether,1.76268987%,299.0,,
3,5,0x53d284357ec70ce289d6d64134dfac8e511c8a3d,Kraken 6,1,378,734.06632152 Ether,1.18029403%,15.0,1.0,
4,6,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,Compound: cETH Token,1,286,628.03285835 Ether,1.10144474%,233.0,121.0,
5,7,0x9bf4001d307dfd62b26a2f1307ee0c0307632d59,,1,040,000.01021431 Ether,0.89031369%,8.0,,
6,8,0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,Gemini 3,989,498.95358134 Ether,0.84708120%,269,,,
7,9,0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8,819,929.35670613 Ether,0.70191762%,5,592.0,,
8,10,0x8484ef722627bf18ca5ae6bcf031c23e6e922b30,Polygon (Matic): Ether Bridge,742,560.28833056 Ether,0.63568421%,7,,,
9,11,0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,,700,010.76046368 Ether,0.59925880%,44,,,
10,12,0x229b5c097f9b35009ca1321ad2034d4b3d5070f6,Huobi 18,657,334.14269696 Ether,0.56272459%,43,,,
11,13,0xdee6238780f98c0ca2c2c28453149bea49a3abc9,,600,000.0179058 Ether,0.51364252%,8,,,
12,14,0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f,,588,251.00357472 Ether,0.50358453%,4,,,
13,15,0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,,560,000.000065 Ether,0.47939967%,113,,,
14,16,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,,479,056.77639639 Ether,0.41010654%,13,828.0,,
15,17,0xe853c56864a2ebe4576a807d26fdc4a0ada51919,Kraken 3,465,197.59593256 Ether,0.39824210%,220,,,
16,18,0xa929022c9107643515f5c777ce9a910f0d1e490c,,463,761.07 Ether,0.39701233%,10,240.0,,
17,19,0xe92d1a43df510f82c66382592a047d288f85226f,,450,000.05008572 Ether,0.38523192%,17,,,
18,20,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,FTX Exchange 2,421,890.36086856 Ether,0.36116804%,728,587.0,,
19,21,0xdc76cd25977e0a5ae17155770273ad58648900d3,Huobi 6,399,999.43606047 Ether,0.34242785%,780,,,
20,22,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,EthDev,397,733.09549274 Ether,0.34048771%,776,,,
21,23,0x07ee55aa48bb72dcc6e9d78256648910de513eca,Gemini: Contract 1,376,241.11148462 Ether,0.32208905%,728,,,
22,24,0x220866b1a2219f40e72f5c628b65d54268ca3a9d,Vb 3,325,001.91358528 Ether,0.27822466%,14,,,
23,25,0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca,,325,000.48001707 Ether,0.27822343%,14,,,
24,26,0x3bfc20f0b9afcace800d73d2191166ff16540258,Polkadot: MultiSig,306,276.62236139 Ether,0.26219449%,144,,,
25,27,0x8103683202aa8da10536036edef04cdd865c225e,,275,000.02741999 Ether,0.23541951%,6,,,
26,28,0x66f820a414680b5bcda5eeca5dea238543f42054,Bittrex 3,255,499.8888377 Ether,0.21872601%,137,,,
