,rank,address,c,name, tag,balance,percentage,txn count,b,k
0,2,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,Polygon: WMATIC Token,336,412,794.55849293 MATIC,5.04193100%,1.0,578.0,696.0
1,3,0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245,,78,369,314.36749725 MATIC,1.17454711%,354.0,620.0,
2,4,0xa3bd5c569c097cedcf1cd878c8e25695a3db6926,Polyquity: Active Pool,11,103,919.9340787 MATIC,0.16641816%,3.0,,
3,5,0x3507e4978e0eb83315d20df86ca0b976c0e40ccb,,10,800,729.85770259 MATIC,0.16187415%,11.0,,
4,6,0xd6216fc19db775df9774a6e33526131da7d19a2c,,9,300,141.999743 MATIC,0.13938434%,17.0,,
5,7,0xd70250731a72c33bfb93016e3d1f0ca160df7e42,,6,803,148.55437427 MATIC,0.10196106%,19.0,845.0,
6,8,0x986a2fca9eda0e06fbf7839b89bfc006ee2a23dd,,5,179,888.95088614 MATIC,0.07763273%,106.0,907.0,
7,9,0xa3fa99a148fa48d14ed51d610c367c61876997f1,Qi DAO: miMATIC Token,3,571,048.77100141 MATIC,0.05352050%,112.0,327.0,
8,10,0x942c49276b6c3f45a5571c4c1a19b1a7ef3bb3cc,,3,569,508.78553607 MATIC,0.05349742%,13.0,679.0,
9,11,0x4c28f48448720e9000907bc2611f73022fdce1fa,,2,685,583.23578816 MATIC,0.04024973%,32.0,212.0,
10,12,0x33a28d7a0c94599edb670fcce5dfa9d4c072314e,,2,544,615.39713907 MATIC,0.03813700%,39.0,848.0,
11,13,0x51e3d44172868acc60d68ca99591ce4230bc75e0,MEXC Wallet,2,413,903.72179569 MATIC,0.03617798%,112.0,18.0,
12,14,0x83a127952d266a6ea306c40ac62a4a70668fe3bd,,2,064,422 MATIC,0.03094018%,2.0,,
13,15,0x72a53cdbbcc1b9efa39c834a540550e23463aacb,,1,938,615.08631989 MATIC,0.02905467%,5.0,580.0,
14,16,0xb3fb21fc053777acc7e70e7f228502cb63c8d888,,1,883,176 MATIC,0.02822379%,11.0,,
15,17,0x6ae3b59797b9a58df8a09c07de76777a5da7f376,,1,866,970.94599832 MATIC,0.02798092%,415.0,,
16,18,0x3b7e23bf392a04e2b5552558ff3cb335e139b73a,,1,254,711.34174278 MATIC,0.01880478%,306.0,,
17,19,0x1e7267fa2628d66538822fc44f0edb62b07272a4,,1,222,016.49352972 MATIC,0.01831477%,94.0,,
18,20,0x9c4bc968201088b000c8194051d296db1321c66b,,1,204,657.80936108 MATIC,0.01805461%,40.0,,
19,21,0xd2171abb60d2994cf9acb767f2116cf47bbf596f,,1,135,199.50756961 MATIC,0.01701361%,11.0,,
20,22,0x1c78e4a518d15dafe2f30b60874e6f05b0ac9ef1,,1,131,594.32010915 MATIC,0.01695958%,2.0,,
21,23,0xf63724c70bf94b7ceefa0bc8e2de5948eded0800,,1,097,150.89435791 MATIC,0.01644337%,230.0,,
22,24,0x803b74766d8f79195d4daecf6f2aac31dba78f25,,1,030,452.80035651 MATIC,0.01544374%,98.0,,
23,25,0xa475696b642516f21264e6fd240073e3532ff03c,,1,000,000 MATIC,0.01498733%,1.0,,
24,26,0xc1b02e52e9512519edf99671931772e452fb4399,WePiggy: pMATIC Token,986,186.86799587 MATIC,0.01478031%,1,903.0,,
25,27,0x942d2217c2f65ef5be8d5060b67c99cf6c527bcb,,970,452.38712859 MATIC,0.01454449%,21,,,
26,28,0x4f2c2e63b17be8188efd125363ebe7548d723569,,899,999.99972735 MATIC,0.01348860%,23,,,
27,29,0x65bdef0e45b652e86973c3408c7cd24dda9d844d,,861,714.02819654 MATIC,0.01291480%,4,682.0,,
28,30,0xd92469b559d19c477adc27440b67733275a1a748,,809,700 MATIC,0.01213524%,22,,,
29,31,0x2b4a53413ead54a8ab7b11691c36bf1b07225aad,,745,498.65689083 MATIC,0.01117304%,161,,,
30,32,0x007e4195a6c8f68801c0673ec561c38fed803021,,742,683.82 MATIC,0.01113085%,2,,,
31,33,0x640edb44daa12b9266e8bc811c9d0351282124e5,,701,900 MATIC,0.01051961%,1,,,
32,34,0x771fd13e44cb61f91ee3fa81ba0c81c2f45f0c39,,700,000.00007899 MATIC,0.01049113%,51,,,
33,35,0xfa0b641678f5115ad8a8de5752016bd1359681b9,,648,231.91166248 MATIC,0.00971527%,18,714.0,,
34,36,0x0d0707963952f2fba59dd06f2b425ace40b492fe,,644,677.9470487 MATIC,0.00966200%,34,302.0,,
35,37,0xb78e90e2ec737a2c0a24d68a0e54b410fff3bd6b,,601,431.61168224 MATIC,0.00901386%,514,,,
36,38,0xda07f1603a1c514b2f4362f3eae7224a9cdefaf9,,600,999.990038 MATIC,0.00900739%,3,,,
37,39,0x3d0e2029d558c489c4e8c6e5f830836fdfec43d6,,599,091.9622264 MATIC,0.00897879%,122,631.0,,
38,40,0x2a51a627d0cc9e3da69a19a3ba30ea9c84c46175,,541,080.151633 MATIC,0.00810935%,1,,,
39,41,0x7a0ada3a4daa94298510a901c9c6f27e84059b76,,527,001 MATIC,0.00789834%,0,,,
40,42,0xe3db7b04c5b761a38a5d46adf68f5c213048c1ae,,499,907.299958 MATIC,0.00749228%,15,,,
41,43,0x6980e09b44f5b59cc1c423afde8ba10200ae4535,,490,833.992606 MATIC,0.00735629%,15,,,
42,44,0x0e57469d57b7344504bc08379061c7887041ae7b,,484,889.42027388 MATIC,0.00726720%,6,709.0,,
